"filename", "language", "Markdown", "Python", "HTML", "XML", "JavaScript", "CSS", "Log", "JSON", "comment", "blank", "total"
"/home/ali4mini/__Projects__/amlak/Divar/divar.py", "Python", 0, 131, 0, 0, 0, 0, 0, 0, 9, 46, 186
"/home/ali4mini/__Projects__/amlak/Divar/test.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"/home/ali4mini/__Projects__/amlak/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/agents/models.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"/home/ali4mini/__Projects__/amlak/agents_m/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/agents_m/admin.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 1, 0, 6
"/home/ali4mini/__Projects__/amlak/agents_m/apps.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/home/ali4mini/__Projects__/amlak/agents_m/auth.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/home/ali4mini/__Projects__/amlak/agents_m/forms.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 5, 14
"/home/ali4mini/__Projects__/amlak/agents_m/migrations/0001_initial.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 1, 7, 28
"/home/ali4mini/__Projects__/amlak/agents_m/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/agents_m/models.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 1, 1, 9
"/home/ali4mini/__Projects__/amlak/agents_m/templates/registration/login.html", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/home/ali4mini/__Projects__/amlak/agents_m/tests.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"/home/ali4mini/__Projects__/amlak/agents_m/urls.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/ali4mini/__Projects__/amlak/agents_m/views.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 1, 0, 20
"/home/ali4mini/__Projects__/amlak/amlak/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/amlak/asgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/home/ali4mini/__Projects__/amlak/amlak/settings.py", "Python", 0, 81, 0, 0, 0, 0, 0, 0, 27, 33, 141
"/home/ali4mini/__Projects__/amlak/amlak/urls.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 15, 2, 28
"/home/ali4mini/__Projects__/amlak/amlak/wsgi.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 8, 5, 17
"/home/ali4mini/__Projects__/amlak/customer/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/ali4mini/__Projects__/amlak/customer/admin.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 1, 5, 16
