Date : 2023-04-13 19:44:09
Directory : /home/ali4mini/__Projects__/amlak
Total : 128 files,  217797 codes, 383 comments, 841 blanks, all 219021 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |    211,639 |          0 |          2 |    211,641 |
| Log        |          2 |      2,427 |          0 |          2 |      2,429 |
| Python     |         91 |      2,209 |        345 |        611 |      3,165 |
| HTML       |         17 |      1,148 |          6 |        143 |      1,297 |
| CSS        |          7 |        281 |         19 |         73 |        373 |
| JavaScript |          3 |         58 |         11 |          8 |         77 |
| XML        |          4 |         35 |          2 |          1 |         38 |
| Markdown   |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        128 |    217,797 |        383 |        841 |    219,021 |
| . (Files)                                                                                                               |          6 |      2,474 |          3 |         10 |      2,487 |
| Divar                                                                                                                   |          2 |        146 |         10 |         50 |        206 |
| agents                                                                                                                  |          1 |          9 |          1 |          2 |         12 |
| agents_m                                                                                                                |         12 |        126 |          5 |         30 |        161 |
| agents_m (Files)                                                                                                        |          9 |         88 |          4 |         20 |        112 |
| agents_m/migrations                                                                                                     |          2 |         20 |          1 |          8 |         29 |
| agents_m/templates                                                                                                      |          1 |         18 |          0 |          2 |         20 |
| agents_m/templates/registration                                                                                         |          1 |         18 |          0 |          2 |         20 |
| amlak                                                                                                                   |          5 |        100 |         58 |         46 |        204 |
| customer                                                                                                                |         18 |        361 |         12 |         92 |        465 |
| customer (Files)                                                                                                        |          8 |        119 |         10 |         31 |        160 |
| customer/migrations                                                                                                     |          3 |         43 |          2 |         14 |         59 |
| customer/static                                                                                                         |          3 |         81 |          0 |         31 |        112 |
| customer/static/JS                                                                                                      |          1 |         13 |          0 |          1 |         14 |
| customer/static/css                                                                                                     |          2 |         68 |          0 |         30 |         98 |
| customer/templates                                                                                                      |          4 |        118 |          0 |         16 |        134 |
| customer/templates/customer                                                                                             |          4 |        118 |          0 |         16 |        134 |
| file                                                                                                                    |         62 |      2,230 |        157 |        465 |      2,852 |
| file (Files)                                                                                                            |          8 |        492 |         83 |         96 |        671 |
| file/migrations                                                                                                         |         38 |        745 |         37 |        224 |      1,006 |
| file/static                                                                                                             |          6 |        191 |         31 |         35 |        257 |
| file/static (Files)                                                                                                     |          1 |         13 |          1 |          0 |         14 |
| file/static/JS                                                                                                          |          1 |         28 |         11 |          6 |         45 |
| file/static/css                                                                                                         |          4 |        150 |         19 |         29 |        198 |
| file/templates                                                                                                          |         10 |        802 |          6 |        110 |        918 |
| file/templates/file                                                                                                     |         10 |        802 |          6 |        110 |        918 |
| listing                                                                                                                 |         21 |        744 |        137 |        146 |      1,027 |
| listing (Files)                                                                                                         |          8 |         90 |          7 |         21 |        118 |
| listing/migrations                                                                                                      |          1 |          0 |          0 |          1 |          1 |
| listing/scripts                                                                                                         |          5 |        342 |        129 |         93 |        564 |
| listing/scripts (Files)                                                                                                 |          4 |        221 |        116 |         49 |        386 |
| listing/scripts/divar                                                                                                   |          1 |        121 |         13 |         44 |        178 |
| listing/static                                                                                                          |          5 |        102 |          1 |         16 |        119 |
| listing/static/JS                                                                                                       |          1 |         17 |          0 |          1 |         18 |
| listing/static/css                                                                                                      |          1 |         63 |          0 |         14 |         77 |
